Id,Name,Interface,Speed,Price,Recommended,Link
105,SEAGATE BarraCuda Q1 ZA480CV1A001 480ГБ,SATA III,550,4790,0,https://www.citilink.ru/product/ssd-nakopitel-seagate-barracuda-q1-za480cv1a001-480gb-2-5-sata-iii-1468964/
106,KINGSTON KC600 SKC600/1024G 1ТБ,SATA III,550,11 990,0,https://www.citilink.ru/product/nakopitel-ssd-kingston-sata-iii-1tb-skc600-1024g-kc600-2-5-1387334/
107,SAMSUNG 870 EVO MZ-77E2T0BW 2ТБ,SATA III,560,29 990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-870-evo-mz-77e2t0bw-2tb-2-5-sata-iii-1475910/
108,TRANSCEND TS480GSSD220S 480ГБ,SATA III,550,5190,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts480gssd220s-480gb-2-5-sata-iii-480302/
109,INTEL DC D3-S4610 SSDSC2KG480G801 480ГБ,SATA III,560,13 990,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-d3-s4610-ssdsc2kg480g801-480gb-2-5-sata-iii-ssd-1078058/
110,INTEL 660P SSDPEKNW512G8X1 512ГБ,PCI-E x4,1500,6290,0,https://www.citilink.ru/product/ssd-nakopitel-intel-660p-ssdpeknw512g8x1-512gb-m-2-2280-pci-e-x4-nvme-1122214/
111,SAMSUNG 860 Pro MZ-76P1T0BW 1ТБ,SATA III,560,22 990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-860-pro-mz-76p1t0bw-1tb-2-5-sata-iii-1035010/
112,SAMSUNG 870 QVO MZ-77Q4T0BW 4ТБ,SATA III,560,43 990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-860-qvo-mz-77q4t0bw-4tb-2-5-sata-iii-1418145/
113,INTEL DC D3-S4510 SSDSC2KB480G801 480ГБ,SATA III,560,11 590,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-d3-s4510-ssdsc2kb480g801-480gb-2-5-sata-iii-ssd-1078132/
114,INTEL DC D3-S4610 SSDSC2KG960G801 960ГБ,SATA III,560,26 990,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-d3-s4610-ssdsc2kg960g801-960gb-2-5-sata-iii-ssd-1078057/
115,INTEL DC D3-S4610 SSDSC2KG240G801 240ГБ,SATA III,560,9990,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-d3-s4610-ssdsc2kg240g801-240gb-2-5-sata-iii-ssd-1078060/
116,AMD Radeon R5 R5SL960G 960ГБ,SATA III,530,8990,0,https://www.citilink.ru/product/ssd-nakopitel-amd-radeon-r5-r5sl960g-960gb-2-5-sata-iii-1180803/
117,INTEL DC D3-S4510 SSDSC2KB019T801 1.9ТБ,SATA III,560,35 990,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-d3-s4510-ssdsc2kb019t801-1-9tb-2-5-sata-iii-ssd-1078144/
