Id,Name,Power,Price,Recommended,Link
39,AEROCOOL AERO WHITE,700 Вт,4660,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-white-700vt-120mm-chernyi-retail-aero-whit-1207082/
40,ACCORD ACC-P300W,300 Вт,1020,0,https://www.citilink.ru/product/blok-pitaniya-accord-acc-p300w-300vt-80mm-877945/
41,AEROCOOL CYLON 400,400 Вт,2970,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-cylon-400-400vt-120mm-chernyi-retail-1111162/
42,GIGABYTE GP-P650B,650 Вт,5420,0,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-650w-gp-p650b-80-bronze-24-4-4pin-apfc-120m-1422402/
43,AEROCOOL AERO BRONZE,550 Вт,4860,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-bronze-550vt-120mm-chernyi-retail-aero-bro-1207083/
44,HIPRO HIPO DIGI HPE450W,450 Вт,2830,0,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpe450w-450vt-120mm-576553/
45,COOLER MASTER MWE White 650W V2,650 Вт,4450,0,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-white-650w-v2-650vt-120mm-retail-mpe-6-1446109/
46,HIPRO HIPO DIGI HPE400W,400 Вт,2570,0,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpe400w-400vt-120mm-45715/
47,GIGABYTE GP-P850GM,850 Вт,11 990,0,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-750w-gp-p850gm-80-gold-24-4-4pin-apfc-120mm-1422460/
48,COOLER MASTER MWE Bronze V2,700 Вт,5590,0,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-bronze-700w-v2-700vt-120mm-retail-mpe-1446119/
49,THERMALTAKE Toughpower Grand RGB,750 Вт,12 620,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-grand-rgb-750vt-140mm-chernyi-ret-1029555/
50,COOLER MASTER MWE White 600W V2,600 Вт,4080,0,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-white-600w-v2-600vt-120mm-retail-mpe-6-1446133/
51,LINKWORLD LW2-350W LPE case,350 Вт,1020,0,https://www.citilink.ru/product/blok-pitaniya-linkworld-lw2-350w-lpe-case-350vt-80mm-retail-lw2-350wlp-80255/
52,HIPRO HIPO DIGI HPA-500W,500 Вт,2680,0,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpa-500w-500vt-120mm-hpa500-737090/
53,AEROCOOL AERO BRONZE,700 Вт,5550,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-atx-700w-aero-bronze-80-bronze-24-4-4pin-apfc-1-1395986/
54,THERMALTAKE TR2 S,550 Вт,4260,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-tr2-s-550vt-120mm-chernyi-retail-ps-trs-0550-365398/
55,GIGABYTE AORUS GP-AP850GM,750 Вт,14 990,0,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-750w-aorus-gp-ap850gm-80-gold-24-4-4pin-apf-1422488/
56,GIGABYTE GP-P450B,450 Вт,3560,0,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-450w-gp-p450b-80-bronze-24-4-4pin-apfc-120m-1422333/
57,AEROCOOL AERO WHITE,600 Вт,3960,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-white-600vt-120mm-chernyi-retail-aero-whit-1207079/
58,ACCORD ACC-600W-12,600 Вт,2610,0,https://www.citilink.ru/product/blok-pitaniya-accord-acc-600w-12-600vt-120mm-acc-600-12-877956/
59,FSP 600PNR-I,600 Вт,3360,0,https://www.citilink.ru/product/blok-pitaniya-fsp-600pnr-i-600vt-120mm-atx-600pnr-i-316641/
60,SEASONIC S12III-500 SSR-500GB3,500 Вт,5100,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-s12iii-500-ssr-500gb3-500vt-120mm-chernyi-retai-1217449/
61,GIGABYTE GP-P550B,550 Вт,4380,0,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-550w-gp-p550b-80-bronze-24-4-4pin-apfc-120m-1422395/
