Id,Name,Socket,Chipset,Price,Recommended,Link
71,ASROCK H410M-HDV/M.2,LGA 1200,Intel H410,6790,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h410m-hdv-m-2-lga-1200-intel-h410-matx-ret-1415792/
72,ASUS PRIME H410M-A,LGA 1200,Intel H410,7590,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-a-soc-1200-intel-h410-2xddr4-atx-a-1379727/
73,MSI H410M-A PRO,LGA 1200,Intel H410,6290,0,https://www.citilink.ru/product/materinskaya-plata-msi-h410m-a-pro-soc-1200-intel-h410-2xddr4-matx-ac-1401006/
74,ASUS ROG STRIX B450-F GAMING,SocketAM4,AMD B450,11 510,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b450-f-gaming-socketam4-amd-b450-atx-1083573/
75,MSI MAG B365M MORTAR,LGA 1151v2,Intel B365,5090,0,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b365m-mortar-lga-1151v2-intel-b365-matx-ret-1192148/
76,GIGABYTE B550 AORUS ELITE V2,SocketAM4,AMD B550,12 800,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550-aorus-elite-v2-socketam4-amd-b550-atx-1444568/
77,ASROCK H470M-HDV/M.2,LGA 1200,Intel H470,6600,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h470m-hdv-m-2-soc-1200-intel-h470-2xddr4-mat-1485307/
78,ASUS ROG STRIX Z490-E GAMING,LGA 1200,Intel Z490,26 700,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z490-e-gaming-soc-1200-intel-z490-4x-1375129/
79,ASUS ROG STRIX B550-E GAMING,SocketAM4,AMD B550,21 140,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b550-e-gaming-soc-am4-amd-b550-4xddr-1384336/
80,GIGABYTE H370 HD3,LGA 1151v2,Intel H370,8480,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h370-hd3-lga-1151v2-intel-h370-atx-ret-1056994/
81,ASUS TUF GAMING B550M-PLUS WI-FI,SocketAM4,AMD B550,13 690,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b550m-plus-wi-fi-soc-am4-amd-b550-4-1395245/
82,GIGABYTE H310M H 1.1,LGA 1151v2,Intel H370,3990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-h-lga-1151v2-intel-h370-matx-ret-1471909/
83,ASUS TUF B450-PLUS GAMING,SocketAM4,AMD B450,8140,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-b450-plus-gaming-socketam4-amd-b450-atx-re-1083576/
84,GIGABYTE B450M GAMING,SocketAM4,AMD B450,6190,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-gaming-socketam4-amd-b450-matx-ret-1102377/
85,ASUS TUF GAMING B460M-PLUS,LGA 1200,Intel B460,10 290,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b460m-plus-soc-1200-intel-b460-4xdd-1395231/
86,ASROCK X370M-HDV R4.0,SocketAM4,AMD X370,4760,0,https://www.citilink.ru/product/materinskaya-plata-asrock-x370m-hdv-r4-0-soc-am4-amd-x370-2xddr4-matx-1384519/
87,ASROCK B365M PRO4,LGA 1151v2,Intel B365,6620,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b365m-pro4-lga-1151v2-intel-b365-matx-ret-1146350/
88,ASUS PRIME B450-PLUS,SocketAM4,AMD B450,7490,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b450-plus-socketam4-amd-b450-atx-ret-1083557/
89,ASROCK H470 PHANTOM GAMING 4,LGA 1200,Intel H470,8810,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h470-phantom-gaming-4-soc-1200-intel-h470-4x-1405713/
90,ASUS ROG STRIX B360-H GAMING,LGA 1151v2,Intel B360,9770,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b360-h-gaming-lga-1151v2-intel-b360-1052628/
91,ASUS PRIME B360-PLUS,LGA 1151v2,Intel B360,7570,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b360-plus-lga-1151v2-intel-b360-atx-ret-1052605/
92,GIGABYTE B365M D3H,LGA 1151v2,Intel B365,6400,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b365m-d3h-lga-1151v2-intel-b365-matx-ret-1159157/
93,GIGABYTE GA-J1800N-D2H,Celeron J1800,спецификация памяти: 1333 МГц,3760,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-ga-j1800n-d2h-mini-itx-ret-878953/
94,ASUS PRIME H410M-E,LGA 1200,Intel H410,7190,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-e-soc-1200-intel-h410-2xddr4-atx-a-1379728/
95,ASUS TUF GAMING A520M-PLUS,SocketAM4,AMD A520,6840,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-a520m-plus-soc-am4-amd-a520-4xddr4-1405623/
96,ASROCK A520M-HVS,SocketAM4,AMD A520,4760,0,https://www.citilink.ru/product/materinskaya-plata-asrock-a520m-hvs-soc-am4-amd-a520-2xddr4-matx-ac-97-1407202/
97,GIGABYTE Z390 GAMING X,LGA 1151v2,Intel Z390,10 990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z390-gaming-x-lga-1151v2-intel-z390-atx-re-1090570/
98,GIGABYTE B460M AORUS PRO,LGA 1200,Intel B460,9590,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b460m-aorus-pro-soc-1200-intel-b460-4xddr4-1396909/
99,GIGABYTE B460M DS3H V2,LGA 1200,Intel H470,7990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b460m-ds3h-v2-lga-1200-intel-h470-matx-ret-1474378/
100,ASUS ROG STRIX Z490-H GAMING,LGA 1200,Intel Z490,19 840,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z490-h-gaming-soc-1200-intel-z490-4x-1375133/
101,ASUS PRIME H410M-D,LGA 1200,Intel H410,7390,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-d-soc-1200-intel-h410-2xddr4-matx-1393260/
102,GIGABYTE B550 GAMING X,SocketAM4,AMD B550,11 310,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550-gaming-x-socketam4-amd-b550-atx-ret-1399190/
103,ASUS TUF B450M-PLUS GAMING,SocketAM4,AMD B450,7240,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-b450m-plus-gaming-socketam4-amd-b450-matx-1077729/
104,ASROCK B365M PRO4-F,LGA 1151v2,Intel B365,6010,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b365m-pro4-f-lga-1151v2-intel-b365-matx-ret-1207983/
