Id,Name,Type,Picture,Price,Recommended,Link
103,ATX FORMULA V-LINE 7713 белый,Midi-Tower,https://items.s1.citilink.ru/1405929_v01_m.jpg,4860,0,https://www.citilink.ru/product/korpus-formula-v-line-7713-belyi-bez-bp-atx-3x120mm-2xusb2-0-1xusb3-0-1405929/
104,ATX ZALMAN S2 TG черный,Midi-Tower,https://items.s1.citilink.ru/1473761_v01_m.jpg,2690,0,https://www.citilink.ru/product/korpus-atx-zalman-s2-tg-bez-bp-chernyi-s2-tg-black-1473761/
105,miniITX LINKWORLD LC-820-01B LW1-65W черный,HTPC,https://items.s1.citilink.ru/528751_v01_m.jpg,3640,0,https://www.citilink.ru/product/korpus-miniitx-linkworld-lc-820-01b-lw1-65w-htpc-65vt-chernyi-528751/
106,ATX AEROCOOL RIFT BG черный,Midi-Tower,https://items.s1.citilink.ru/1181106_v01_m.jpg,3270,0,https://www.citilink.ru/product/korpus-atx-aerocool-rift-bg-midi-tower-bez-bp-chernyi-1181106/
107,ATX NZXT H510 CA-H510B-BR черный и красный,Midi-Tower,https://items.s1.citilink.ru/1167972_v01_m.jpg,6240,0,https://www.citilink.ru/product/korpus-atx-nzxt-h510-ca-h510b-br-midi-tower-bez-bp-chernyi-i-krasnyi-1167972/
108,ATX AEROCOOL SI-5101 Advance черный,Midi-Tower,https://items.s1.citilink.ru/1076321_v01_m.jpg,2790,0,https://www.citilink.ru/product/korpus-atx-aerocool-si-5101-advance-midi-tower-bez-bp-chernyi-1076321/
109,miniITX THERMALTAKE Suppressor F1 черный,Mini-Tower,https://items.s1.citilink.ru/326778_v01_m.jpg,4660,0,https://www.citilink.ru/product/korpus-miniitx-thermaltake-suppressor-f1-mini-tower-bez-bp-chernyi-326778/
110,miniITX THERMALTAKE Core V1 Snow белый,Desktop,https://items.s1.citilink.ru/1214623_v01_m.jpg,4450,0,https://www.citilink.ru/product/korpus-miniitx-thermaltake-core-v1-snow-desktop-bez-bp-belyi-1214623/
111,ATX THERMALTAKE Suppressor F31 TG черный,Midi-Tower,https://items.s1.citilink.ru/406332_v01_m.jpg,9210,0,https://www.citilink.ru/product/korpus-atx-thermaltake-suppressor-f31-tg-midi-tower-bez-bp-chernyi-406332/
112,ATX FRACTAL DESIGN Define S черный,Midi-Tower,https://items.s1.citilink.ru/305720_v01_m.jpg,9620,0,https://www.citilink.ru/product/korpus-atx-fractal-design-define-s-midi-tower-bez-bp-chernyi-305720/
113,ATX AEROCOOL Aero Engine RGB-G-BK-v2 черный,Midi-Tower,https://items.s1.citilink.ru/1121588_v01_m.jpg,3370,0,https://www.citilink.ru/product/korpus-atx-aerocool-aero-engine-rgb-g-bk-v2-midi-tower-bez-bp-chernyi-1121588/
114,ATX AEROCOOL Flo Saturn FRGB-G-BK-v1 черный,Midi-Tower,https://items.s1.citilink.ru/1217782_v01_m.jpg,7430,0,https://www.citilink.ru/product/korpus-aerocool-flo-saturn-frgb-g-bk-v1-chernyi-bez-bp-atx-1x120mm-2xu-1217782/
115,ATX FORMULA V-LINE F-3 черный,Midi-Tower,https://items.s1.citilink.ru/1415102_v01_m.jpg,4810,0,https://www.citilink.ru/product/korpus-formula-v-line-f-3-chernyi-bez-bp-atx-3x120mm-2xusb2-0-1xusb3-0-1415102/
116,miniITX FRACTAL DESIGN Node 202 черный,HTPC,https://items.s1.citilink.ru/305729_v01_m.jpg,6760,0,https://www.citilink.ru/product/korpus-miniitx-fractal-design-node-202-htpc-bez-bp-chernyi-305729/
117,ATX THERMALTAKE H200 TG Snow RGB белый,Midi-Tower,https://items.s1.citilink.ru/1148179_v01_m.jpg,7410,0,https://www.citilink.ru/product/korpus-atx-thermaltake-h200-tg-snow-rgb-midi-tower-bez-bp-belyi-1148179/
118,ATX ZALMAN S3 TG черный,Midi-Tower,https://items.s1.citilink.ru/1473757_v01_m.jpg,2790,0,https://www.citilink.ru/product/korpus-atx-zalman-s3-tg-bez-bp-chernyi-s3-tg-black-1473757/
119,ATX FORMULA V-LINE 2052 черный,Midi-Tower,https://items.s1.citilink.ru/1417210_v01_m.jpg,4210,0,https://www.citilink.ru/product/korpus-formula-v-line-2052-chernyi-chernyi-bez-bp-atx-1x120mm-2xusb2-0-1417210/
